Source,Target,Weight
cheshire,joker-eph,4
cheshire,chsigg,6
cheshire,martinwicke,2
cheshire,yifeif,2
allenlavoie,cheshire,2
cheshire,ddunl,6
cheshire,smit-hinsu,2
cheshire,yangustc07,2
cheshire,jreiffers,6
cheshire,jsimsa,2
cheshire,klucke,4
cheshire,ebrevdo,2
alextp,cheshire,2
benoitsteiner,roserg,2
jpienaar,roserg,2
qlzh727,roserg,2
d0k,roserg,2
pifon2a,roserg,2
River707,roserg,2
joker-eph,roserg,2
chsigg,roserg,2
martinwicke,roserg,2
roserg,yifeif,2
allenlavoie,roserg,2
ddunl,roserg,2
roserg,smit-hinsu,2
roserg,yangustc07,2
jreiffers,roserg,2
jsimsa,roserg,2
klucke,roserg,2
ebrevdo,roserg,2
alextp,roserg,2
benoitsteiner,jpienaar,2
benoitsteiner,qlzh727,4
benoitsteiner,d0k,2
benoitsteiner,pifon2a,2
River707,benoitsteiner,2
benoitsteiner,joker-eph,2
benoitsteiner,chsigg,2
benoitsteiner,martinwicke,10
benoitsteiner,yifeif,10
allenlavoie,benoitsteiner,4
benoitsteiner,ddunl,2
benoitsteiner,smit-hinsu,2
benoitsteiner,yangustc07,2
benoitsteiner,jreiffers,2
benoitsteiner,jsimsa,3
benoitsteiner,klucke,2
benoitsteiner,ebrevdo,5
alextp,benoitsteiner,7
jpienaar,qlzh727,2
d0k,jpienaar,4
jpienaar,pifon2a,4
River707,jpienaar,3
joker-eph,jpienaar,6
chsigg,jpienaar,3
jpienaar,martinwicke,2
jpienaar,yifeif,2
allenlavoie,jpienaar,2
ddunl,jpienaar,2
jpienaar,smit-hinsu,2
jpienaar,yangustc07,2
jpienaar,jreiffers,2
jpienaar,jsimsa,2
jpienaar,klucke,2
ebrevdo,jpienaar,2
alextp,jpienaar,2
d0k,qlzh727,2
pifon2a,qlzh727,2
River707,qlzh727,2
joker-eph,qlzh727,3
chsigg,qlzh727,2
martinwicke,qlzh727,6
qlzh727,yifeif,4
allenlavoie,qlzh727,2
ddunl,qlzh727,2
qlzh727,smit-hinsu,2
qlzh727,yangustc07,2
jreiffers,qlzh727,2
jsimsa,qlzh727,2
klucke,qlzh727,2
ebrevdo,qlzh727,2
alextp,qlzh727,6
d0k,pifon2a,9
River707,d0k,2
d0k,joker-eph,6
chsigg,d0k,9
d0k,martinwicke,2
d0k,yifeif,2
allenlavoie,d0k,2
d0k,ddunl,7
d0k,smit-hinsu,2
d0k,yangustc07,2
d0k,jreiffers,6
d0k,jsimsa,2
d0k,klucke,4
d0k,ebrevdo,2
alextp,d0k,2
River707,pifon2a,2
joker-eph,pifon2a,6
chsigg,pifon2a,8
martinwicke,pifon2a,2
pifon2a,yifeif,2
allenlavoie,pifon2a,2
ddunl,pifon2a,6
pifon2a,smit-hinsu,2
pifon2a,yangustc07,2
jreiffers,pifon2a,6
jsimsa,pifon2a,2
klucke,pifon2a,4
ebrevdo,pifon2a,2
alextp,pifon2a,2
River707,joker-eph,3
River707,chsigg,2
River707,martinwicke,2
River707,yifeif,2
River707,allenlavoie,2
River707,ddunl,2
River707,smit-hinsu,2
River707,yangustc07,2
River707,jreiffers,2
River707,jsimsa,2
River707,klucke,2
River707,ebrevdo,2
River707,alextp,2
chsigg,joker-eph,7
joker-eph,martinwicke,3
joker-eph,yifeif,2
allenlavoie,joker-eph,2
ddunl,joker-eph,4
joker-eph,smit-hinsu,2
joker-eph,yangustc07,2
joker-eph,jreiffers,4
joker-eph,jsimsa,2
joker-eph,klucke,2
ebrevdo,joker-eph,2
alextp,joker-eph,3
chsigg,martinwicke,2
chsigg,yifeif,2
allenlavoie,chsigg,2
chsigg,ddunl,7
chsigg,smit-hinsu,2
chsigg,yangustc07,2
chsigg,jreiffers,6
chsigg,jsimsa,2
chsigg,klucke,4
chsigg,ebrevdo,2
alextp,chsigg,2
martinwicke,yifeif,10
allenlavoie,martinwicke,4
ddunl,martinwicke,2
martinwicke,smit-hinsu,2
martinwicke,yangustc07,2
jreiffers,martinwicke,2
jsimsa,martinwicke,3
klucke,martinwicke,2
ebrevdo,martinwicke,5
alextp,martinwicke,9
allenlavoie,yifeif,4
ddunl,yifeif,2
smit-hinsu,yifeif,2
yangustc07,yifeif,2
jreiffers,yifeif,2
jsimsa,yifeif,3
klucke,yifeif,2
ebrevdo,yifeif,5
alextp,yifeif,7
allenlavoie,ddunl,2
allenlavoie,smit-hinsu,2
allenlavoie,yangustc07,2
allenlavoie,jreiffers,2
allenlavoie,jsimsa,3
allenlavoie,klucke,2
allenlavoie,ebrevdo,4
alextp,allenlavoie,4
ddunl,smit-hinsu,2
ddunl,yangustc07,2
ddunl,jreiffers,6
ddunl,jsimsa,2
ddunl,klucke,4
ddunl,ebrevdo,2
alextp,ddunl,2
smit-hinsu,yangustc07,2
jreiffers,smit-hinsu,2
jsimsa,smit-hinsu,2
klucke,smit-hinsu,2
ebrevdo,smit-hinsu,2
alextp,smit-hinsu,2
jreiffers,yangustc07,2
jsimsa,yangustc07,2
klucke,yangustc07,2
ebrevdo,yangustc07,2
alextp,yangustc07,2
jreiffers,jsimsa,2
jreiffers,klucke,4
ebrevdo,jreiffers,2
alextp,jreiffers,2
jsimsa,klucke,2
ebrevdo,jsimsa,3
alextp,jsimsa,3
ebrevdo,klucke,2
alextp,klucke,2
alextp,ebrevdo,5
ezyang,pytorchmergebot,4
malfet,pytorchmergebot,6
pytorchmergebot,zou3519,4
jerryzh168,pytorchmergebot,4
cyyever,pytorchmergebot,3
pytorchmergebot,soumith,4
gchanan,pytorchmergebot,4
anijain2305,pytorchmergebot,3
peterbell10,pytorchmergebot,4
apaszke,pytorchmergebot,4
pytorchmergebot,suo,4
Chillee,pytorchmergebot,4
pytorchmergebot,zdevito,4
janeyx99,pytorchmergebot,4
albanD,pytorchmergebot,4
pytorchmergebot,rohan-varma,4
pytorchmergebot,swolchok,4
jansel,pytorchmergebot,5
colesbury,pytorchmergebot,4
desertfire,pytorchmergebot,3
huydhn,pytorchmergebot,4
angelayi,pytorchmergebot,1
pytorchmergebot,smessmer,4
eellison,pytorchmergebot,2
bdhirsh,pytorchmergebot,3
kshitij12345,pytorchmergebot,4
pytorchmergebot,vkuzo,4
mlazos,pytorchmergebot,1
pytorchmergebot,williamwen42,1
ezyang,malfet,11
ezyang,zou3519,7
ezyang,jerryzh168,4
cyyever,ezyang,4
ezyang,soumith,8
ezyang,gchanan,5
anijain2305,ezyang,4
ezyang,peterbell10,8
apaszke,ezyang,5
ezyang,suo,7
Chillee,ezyang,6
ezyang,zdevito,8
ezyang,janeyx99,4
albanD,ezyang,6
ezyang,rohan-varma,4
ezyang,swolchok,8
ezyang,jansel,4
colesbury,ezyang,5
desertfire,ezyang,3
ezyang,huydhn,3
angelayi,ezyang,2
ezyang,smessmer,5
eellison,ezyang,5
bdhirsh,ezyang,6
ezyang,kshitij12345,6
ezyang,vkuzo,4
ezyang,mlazos,1
ezyang,williamwen42,2
malfet,zou3519,8
jerryzh168,malfet,5
cyyever,malfet,4
malfet,soumith,8
gchanan,malfet,4
anijain2305,malfet,4
malfet,peterbell10,5
apaszke,malfet,4
malfet,suo,8
Chillee,malfet,6
malfet,zdevito,8
janeyx99,malfet,5
albanD,malfet,6
malfet,rohan-varma,5
malfet,swolchok,7
jansel,malfet,10
colesbury,malfet,4
desertfire,malfet,3
huydhn,malfet,7
angelayi,malfet,2
malfet,smessmer,4
eellison,malfet,5
bdhirsh,malfet,5
kshitij12345,malfet,5
malfet,vkuzo,4
malfet,mlazos,1
malfet,williamwen42,3
jerryzh168,zou3519,7
cyyever,zou3519,4
soumith,zou3519,6
gchanan,zou3519,4
anijain2305,zou3519,4
peterbell10,zou3519,4
apaszke,zou3519,4
suo,zou3519,5
Chillee,zou3519,5
zdevito,zou3519,5
janeyx99,zou3519,8
albanD,zou3519,8
rohan-varma,zou3519,4
swolchok,zou3519,5
jansel,zou3519,3
colesbury,zou3519,4
desertfire,zou3519,3
huydhn,zou3519,3
angelayi,zou3519,4
smessmer,zou3519,4
eellison,zou3519,3
bdhirsh,zou3519,7
kshitij12345,zou3519,5
vkuzo,zou3519,4
mlazos,zou3519,1
williamwen42,zou3519,4
cyyever,jerryzh168,3
jerryzh168,soumith,4
gchanan,jerryzh168,4
anijain2305,jerryzh168,3
jerryzh168,peterbell10,4
apaszke,jerryzh168,4
jerryzh168,suo,4
Chillee,jerryzh168,4
jerryzh168,zdevito,4
janeyx99,jerryzh168,10
albanD,jerryzh168,7
jerryzh168,rohan-varma,10
